"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bolivia","BOL","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","22.5682258566489","24.839735578707","53.4587259206799","34.1088338790932","35.4603255426987","36.2105409162099","59.7487753375436","51.8604090322581","63.8808998113208","50.2984650257662","37.4474980122771","34.3352753601441","54.9306768214804","33.502501347255","39.3681213962833","35.7221494744665","37.2499691159732","37.8942438582938","29.5346165610935","29.9618713255685","31.2218951793847","31.8516318351366","29.6171221502765","28.9129850739151","39.8483357768205","33.5362043563366","29.1213967923535","21.4167501196285","19.7728741921166","15.6635210117697","9.69615044011637","13.9537069295701","12.9013089398039","10.3269265126858","9.47780511598144","4.82356789906339","5.2475604275059","4.25566887803739","6.97764397552778","9.89883952740801","9.21953909473769","10.024147779664","9.51956656449353","10.3652362849807","15.5640603308679","14.0108549191527","16.275104418689","14.205978684425","17.787635656929","",
"Brazil","BRA","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","43.8291052751786","38.3154353700257","42.8202912842339","58.4098097308303","63.1377316207356","63.6377355664876","66.5922874118783","82.1185150147003","54.9154356784849","45.5947727068366","39.3440559944044","46.4818301742867","41.8498559679777","45.9339243641203","36.5420809949249","22.6383320676081","23.4250892533899","21.2407373813995","25.1582593726477","31.2418390594001","38.5656818553246","43.6947788680517","59.8465348008431","80.7559155534618","116.563894236312","86.6549918629198","71.1455374700262","71.533641609482","67.6786839787488","48.3235389353813","45.9886415705338","38.3298560843367","28.2890624339476","23.6299416497352","23.6712277559478","18.4296682676097","18.7690515486759","15.7314132277102","28.0671181416749","22.9484422129242","39.7792835988014","51.0549755813973","34.7679526864763","33.3094436850684","53.4702774123798","50.3521091588437","46.7278546984627","29.9040449782556","53.5434238618458","26.7439339145718","",
"Barbados","BRB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79220345990346","4.84585842175085","11.8507099824423","12.6844892415372","14.4166531632125","11.2068085183067","18.7010212132352","11.8209262922086","13.1750850942313","18.1043400042224","17.5595801863358","11.92263516548","11.4177745462651","8.35212645374377","8.74330362481245","17.3241911789711","16.1948695115357","15.6094043269782","16.5776241652416","",
"Botswana","BWA","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","3.21267609453193","1.55385998635416","1.88939189413608","2.46041706277694","1.61159176572601","1.8915149824708","1.61377216643033","2.24575311504959","3.00621053383741","3.71196307407225","5.35026134553233","4.25468981529176","3.87123100133636","4.24315937746044","3.33935073620598","4.34867811288354","3.44590351067306","3.90557679331318","3.61810450436507","4.01075939127781","3.14754208731447","5.24355818356146","2.82522894354337","2.59547903596038","2.16511403115264","2.0336779422037","1.71249442403101","1.95418243116436","1.23110355558824","1.03472944495391","0.934225509445771","0.966996540264074","0.722587201864425","1.17748578921695","1.04367234314029","1.39748444126717","1.05801576761711","0.885818319468212","2.14504575181586","0.672762052785683","3.32688648966856","1.97974958199445","2.44289884396781","2.36055721853273","3.01630581025341","3.75183359746915","2.01493357903601","1.92955567642417","3.66650187699974","4.71797953358513","",
"Central African Republic","CAF","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","3.31410558704773","3.57830918503977","2.3488769006388","4.86435649845548","6.08703033060319","5.05449204028749","12.8464186350247","16.2719615074972","14.219964668561","15.085096097213","14.0650055097991","13.7825686783995","15.6681911077102","13.2128917242439","8.31971248842345","9.25605789781241","4.963946745758","12.9319540607313","","","","","","","","","","","","","","","","","","","","","","","","","8.85123078974685","4.90561640189487","5.37314440983041","5.90048213810493","10.087726739592","13.3966251157824","",
"Canada","CAN","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
