Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Algeria,DZA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,19625060612.8963,25151012703.1373,35454600266.1696,45691652467.4963,59167068864.0544,81462730475.3241,114972269711.741,148098646076.638,155111906771.678,170461132878.607,191369111470.407,200586904241.375,201436604411.914,186350590140.833,150595236894.628,120788088861.403,104852543743.412,87382910154.0942,71795950714.9485,59434389109.5108,56211005199.3665,71852290093.8578,81216738411.6242,83007108429.3211,72495669205.7541
Algeria,DZA,Total reserves in months of imports,FI.RES.TOTL.MO,..,..,..,..,22.7894343241433,30.163003045569,35.3950390078079,32.0738201714419,33.791434082729,36.7819414773254,34.8238177143754,34.3073971199894,32.7812904978346,28.1922504423476,25.8569065523585,22.5792566104525,19.3716083235174,15.926933826264,14.4665752336272,15.4414562891346,13.7665681887564,16.336474497122,17.0452476814619,16.5279389774711,..
Angola,AGO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,731866198.100655,375545950.307129,634199422.3308,1379588147.35472,3196850749.33725,8149079645.64961,11196800894.0338,17869411576.4837,13664098153.6474,19678661657.2159,27039761554.085,31161778888.6797,31500815461.6599,27032344084.4907,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47,16334853784.0603,13781988139.5961,14468113825.809,13654715740.4529,13942114198.8828,14242892504.625,13536065181.9187
Angola,AGO,Total reserves in months of imports,FI.RES.TOTL.MO,1.06051298619751,0.515950491062243,0.722048941236958,1.25835735524017,1.99794220547624,4.32469967086085,3.89157343751113,3.74480928595891,3.36113820275681,5.41091833069453,6.0305602882839,6.61494628107062,6.28848630390088,5.14629092203124,6.48204569064842,9.08387120490077,5.81818691844858,5.41264015408642,6.42509428996665,8.02614772310759,6.94915414648974,4.3768328674863,5.08927113560434,5.51374910579315,5.32280228774496
Benin,BEN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Total reserves in months of imports,FI.RES.TOTL.MO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,5897250157.19176,5473918813.89759,5339775869.80523,5661431014.73493,6309056417.68859,7992391904.99401,9789741087.58999,9118637749.14695,8703960321.12573,7885211136.02874,8081886824.17054,7627970305.74516,7726052443.97927,8322771529.48769,7546144960.24368,7188821774.82296,7490512373.36878,6656913637.84624,6170221067.31238,4940893802.78156,4801608912.27109,4278950590.03447,4755831848.94263,3455661776.33964,..
Botswana,BWA,Total reserves in months of imports,FI.RES.TOTL.MO,26.729041672384,21.460908538314,16.816569647457,13.994111443137,15.8904869813322,20.5493536757065,19.6010926257415,15.7252080622285,17.4791313411833,12.3974795027323,10.9462028718796,9.84524080322996,9.18730550151156,10.266911009258,10.297414998766,10.2345139601368,11.3608810616714,8.69368416094931,8.35244884596834,7.742104293835,6.00373614438294,4.98603986672535,7.17982295358158,4.75676435737337,..
Burundi,BDI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,17974678.2401183,59105712.309297,67366291.2726551,66173617.2508293,100575245.808507,131138494.759737,177130962.895465,266537169.93856,323088641.078175,332085022.471922,295447213.888204,308757013.647554,329308184.126304,317139256.456432,136134382.176262,95158477.530626,97402580.4255521,68126200.7714545,111373704.053543,90319165.5391625,266164087.470182,158530300.559317,90349885.1781753,..,..
Burundi,BDI,Total reserves in months of imports,FI.RES.TOTL.MO,1.33025157537565,4.4337848919473,4.17061066312131,3.14442269326082,3.50915226525564,3.41826519192416,4.7150166604239,5.24828125740751,7.2062322125277,6.44055377637319,4.48625999718291,3.92797591339732,4.26781634100802,4.02176288359724,1.8961029440615,1.50902321397986,1.30727511110529,0.852960373587828,1.24855957440014,1.00573755873484,2.61656264900726,1.29463880139478,0.734240336787315,..,..
Cameroon,CMR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,340115355.120412,639930327.323177,652135227.569221,842430190.035234,964745492.908923,1735263262.18996,2931745509.79895,3112861315.14642,3675521655.97273,3642642765.84442,3198717752.7485,3380703262.12093,3471999831.39101,3168216856.18041,3536255065.98645,2225708778.07818,3196791410.74604,3459329760.96426,3720172167.11585,3961753887.41141,4299788713.29081,5133480338.41129,4882047276.67739,5061511549.89538,..
Cameroon,CMR,Total reserves in months of imports,FI.RES.TOTL.MO,1.2341474366146,2.17333725745259,1.974322770903,2.23588361085012,2.3089935699571,4.13535351308048,5.36272056645664,4.40886187466154,6.4207178051139,6.514755701133,4.41639367786274,4.60490247863692,4.32724949503085,3.61188832772365,5.04658828570745,3.40870594357099,4.72598094872677,4.42822803998766,4.3937287007678,5.78826250910732,5.21284074886784,5.58537321573804,5.10504144166634,5.27511403162855,..
Cabo Verde,CPV,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,45479478.0687327,77123428.2731056,92617800.6630992,139362725.6678,174391987.426298,254525770.70586,364462266.13089,361467111.500192,397876708.938471,382190200.497035,338617823.352149,375841714.655623,475334069.480303,510930777.488313,494495560.716106,572736752.547996,617362329.826463,606003781.270023,737990665.417386,735084797.415375,769650450.739642,729566303.824111,837880565.130438,783105557.825454,1258902686.26313
Cabo Verde,CPV,Total reserves in months of imports,FI.RES.TOTL.MO,1.53074788604475,2.15147514961454,1.95175672738554,2.50399514308198,3.01250535841627,3.53938477089147,4.00607132378474,3.44800454448554,4.19143371014638,3.80133171748194,2.78274765049762,3.50891227042759,4.61046250066902,4.57072732585861,6.07268158874077,6.33870981346661,5.83165192442221,5.15276588763935,6.49615331418896,8.23404266367795,7.91172543556312,6.42013404384939,6.70642390290338,5.99591137593407,8.68827573096616
