"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71817539522833","3.68231803155672","3.3801691540313","3.88171098535047","3.61583392214606","3.53026424628655","3.21188096162069","3.68419904842995","3.85140527665664","2.7609698421721","2.18792852367521","2.3037951339323","2.92905465571437","2.24335717062425","1.90368606448192","2.13996113367323","1.80141447445041","1.7930964175708","2.59264119906833","2.86121007972475","3.22635009507516","5.42326934974573","4.4793455032194","3.78815071262376","5.69615980010095","5.26471576796043","5.72117272138745","5.67668476035304","5.28133443255297","5.04218795641316","4.83183128221264","",
"Afghanistan","AFG","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.153432094486591","0.0623084542101936","0.0794560282166708","0.0867566490556338","0.065666365397817","0.0580764280918365","0.0743981072003037","0.124142977676627","0.205272277364401","0.292136690509521","0.324902542065687","0.333475147144941","0.344998757258291","0.291266953257151","0.228321083128007","0.181215272713207","0.18280878027456","0.252807804690753","0.378605534875039","",
"Africa Western and Central","AFW","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","1.6235952869346","1.64467973608754","1.49063317387399","1.7424771577443","1.72369552652131","2.03034085201686","2.28879598323665","2.59866848604928","3.429643476749","4.10582324748503","5.95193991457812","6.69177103798207","6.64651085709463","5.81779819139203","5.68056727112775","5.66577362351876","7.30340851286419","7.20588427296","6.85102143639612","6.02828883914933","5.91318768980049","5.30878628367597","4.58483282049367","4.15950349799112","7.24395581988385","5.61244417411237","6.06232745243225","5.69610218576061","5.618115844401","5.66866898932113","5.31087219054438","3.98495055125809","3.46583053608103","3.01113539121675","2.62430324719152","2.20230935284788","1.91048314353105","2.33662417804076","1.43876103564366","0.90766561113092","0.681391992027511","0.752807432425358","0.763762661716126","0.921208298143744","1.23259863052727","1.28262041636622","2.31432827845246","2.67481983943062","2.62550731340566","2.67182500540984","2.07173530988652","2.14936342743408","2.51269948995852","3.115914039522","4.85142421608494","",
"Angola","AGO","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65153439544887","3.25043457690607","3.66209263392074","7.01732180779487","4.77364303675741","13.334817791727","9.79939807148252","17.0893189552412","15.019179687417","27.6669233191254","30.1754468926608","23.1031674972779","30.3598619790016","9.24994716719811","7.99723832702225","7.69165778312384","6.99699433315734","8.44015242098033","6.86953517370292","1.92157153968817","5.38398574426579","3.38623967081299","3.38488537850536","4.54746891202332","4.18080371705017","5.68782338136573","8.75683126546503","18.7958639367698","11.2368846887179","14.1503747201825","14.3502768400198","14.4240683343615","13.6674665099268","12.7101324118749","12.8193228023844","11.2649175739344","",
"Albania","ALB","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33103248273165","0.32748319607642","0.661960482418398","0.964853909972673","0.353286124104834","0.643554345466143","1.01199094812162","0.800380486620656","0.762778615953291","0.813651745321444","0.946003314672311","1.31495100458878","0.962315445800785","0.999581261021947","1.24526383693121","1.92426828790108","1.53863055803058","1.89818807186813","2.01108456259841","3.18061207118867","3.71800471300922","4.46367822861266","4.22876563773519","5.46162563344014","10.1682356053037","4.86834435445335","3.86166744302142","7.06255935162394","3.99084346292396","7.62963071603347","4.98288165452511","3.77623001022369","3.65945948376157","3.24990999458288","",
"Andorra","AND","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","3.67848227478133","3.20581622935649","3.33429956534761","2.63504239327433","2.28819347405598","3.04980572900518","3.19851783748812","3.32223447039419","3.76678739875965","3.32488453284737","5.58549028694237","7.04301204603806","6.17644761991511","6.95889004619091","5.68598681833471","7.46953755271474","7.27068397132325","6.03857552144777","4.16536638381178","6.24794069104476","4.57623199400783","2.96386230542357","2.18868342773184","2.51228282169313","2.27928756745779","3.50850522384729","4.86176856315191","5.62365235114816","6.64369900809839","9.16855867900237","8.98216214611374","6.92977592251926","5.74222654534108","11.7076235634893","8.81548392467654","5.73352882860582","8.43671446336399","3.14675402144614","2.72096283152934","4.58333533964363","3.82187426571767","3.0656806449781","2.54870542482641","2.91979229315104","3.30199334203656","3.06752787397847","4.75372593039639","6.44847809412133","8.4967566020713","10.1971939551309","7.83565321645882","5.7841204321484","5.44795117325952","7.26401873456051","6.31558380319694","",
